	pat1_exp_ribo	pat1_0h_ribo	pat1_1h_ribo	pat1_3h_ribo	pat1_5h_ribo	pat1_7h_ribo	pat1_10h_ribo	pat1_exp_mRNA	pat1_0h_mRNA	pat1_1h_mRNA	pat1_3h_mRNA	pat1_5h_mRNA	pat1_7h_mRNA	pat1_10h_mRNA
SPAC29A4.05	64.0678116311571	318.070190353882	405.532106787959	839.128252605321	2826.07739426404	565.47148219259	148.247021171173	59.6698076602164	37.3249475665627	38.2807868146605	744.31402767466	169.121482573501	274.766638707871	199.568782338246
SPAC29A4.09	27.786693839007	84.6534849360238	117.569932934806	54.4537942393665	11.1070031098498	79.5160996246395	23.453507945757	92.8467229422857	54.2283671567393	31.6688684158192	173.467335340349	2.29104547892322	32.5489041783743	70.3087531068863
SPAC11D3.01c	0.973694363595362	57.9431909922831	228.183862732933	43.7383143645512	1546.58702650664	55493.3261056423	10512.547251567	12.1383676808677	54.0709478420826	48.3541468923655	108.232751014073	199.489271376318	10638.6743832518	12367.1957356111
SPCC16A11.01	52.3666224707254	40.9807796020588	62.8866888442383	227.767514287016	9.13915423738242	179.138698757402	112.523128785682	17.275290960565	9.19465825013386	2.71834144659334	25.0884197544651	8.21746902545768	19.8026900379056	103.627101913853
SPBC651.01c	280.445738993048	115.730151182549	739.786846149038	428.705912916404	39.752577719203	144.53212299598	37.31232848862	74.4291500729896	182.100963144525	48.6495217372775	181.542454633629	7.39290571331153	11.1270214133298	61.1637810529791
SPBC3H7.11	52.9339064924761	12.4764462692631	52.6483417775911	81.4321496121491	7.35890646740279	110.840769599801	38.6014291411388	53.0192262966121	51.7617609190849	21.2726784109777	58.8677158831745	7.33120874598755	26.4186445307407	72.8662909389237
SPBC30D10.18c	872.476545697926	179.30693337661	895.550221888786	1464.72602448469	36.4414675348865	430.343358006589	366.287064012432	314.307819445819	972.598456222152	550.747505885387	451.105293804373	17.1932406343401	100.869343469101	189.367209992137
SPCC63.14	67.1672930112158	127.788131056135	194.425869298202	955.098698256701	181.065548687357	2992.49866512598	634.912496969556	4.25022321879311	40.7002371837045	52.4739153638272	34.5340744039003	23.2905919492691	46.2184581619313	88.1778415583277
SPAC24H6.05	136.877264871789	170.417970465069	47.0500990976719	119.497430065352	84.2889794554401	20.1459416714399	10.0468608811235	2.81331871563874	24.1667094027463	11.9438152355838	4.96721003126828	14.6392375162958	15.8499425766537	6.47961765816082
SPBC11G11.02c	66.2875399655756	66.8696563034289	38.7158064922008	279.937102701246	26.0455042281751	31.3759092379928	7.51719315787546	14.0874918063626	23.6570817979954	45.0819177458459	44.4827964612694	6.97655986144329	16.6653183619654	5.00747117501554
SPBC646.08c	196.612138926579	325.574493834747	48.2538130768721	571.309374946895	138.053483196372	130.348957932503	173.758575483821	38.5859326331985	57.8620663212854	20.556106113168	38.872437246377	4.84652145413981	62.5472203685	27.7488726536931
SPAC1B3.08	31.616121537127	38.7482031498761	13.699170112721	124.766337697223	22.4228225203186	5.66174928692133	8.39761262584453	58.6618770621308	20.4076587471736	67.0073048989661	108.641241396345	7.94969149950957	78.3943945780722	55.2984867622367
SPAC31G5.05c	469.783940952618	260.676557935966	113.951994924326	882.448878695899	767.540478122123	111.542251736604	160.369479094187	466.116981638424	79.9577250506487	151.243707834345	968.082467387108	86.684060416827	184.326519811058	102.951986015439
SPCC11E10.08	2.24914367350628	5.978273628089	6.09739301979786	4.58704584447059	0.868845825628391	1.34689705052422	1.56452779243584	12.2750207516924	5.84858152447411	16.5891558782658	15.7748895103191	0.135649103869921	6.0633535396694	16.8809398287681
SPBC25D12.02c	13.7288167377592	51.7903689335473	106.33953013428	102.476859028625	44.195039747125	24.1805174787966	13.576306050014	14.1323229740015	13.8913717054567	16.7043431459657	54.3294907170893	2.21607469132472	10.9299438703674	18.7264542568183
SPAC222.16c	9.70242256376364	30.3072184189662	35.69371767796	48.7364316652539	156.115879169833	95.7007919230981	9.60926988699178	60.6614241427763	43.8673109807418	23.2002788386023	71.3703147957958	35.6159561229986	59.4999838385478	84.6193846233284
SPAC1250.02	0.435170538659363	0	2.91376058218961	13.2925379426379	2319.1020104757	123.12623502766	3.15554611326763	0.904161275208355	10.5725318504917	2.27482033634941	158.721213267495	1513.646374618	109.060290315731	27.7909364778091
SPBC428.11	1006.30317345719	9.79845673914729	401.752359645683	273.177857257197	38.1674822562289	69.1374360531024	34.9906516176073	78.7972683447628	3.51749166060578	8.647786233003	69.2545629337949	1.25746422395754	8.9961202668416	42.7896921292332
SPAC17G8.07	117.815138189121	22.8812476102872	148.944153523828	274.526520013036	37.3659800894576	24.3750154324966	6.07442311534655	28.734535369526	55.0273006996508	15.7297423547351	177.486241059033	12.8851750008751	8.63673932097712	54.9381778367972
SPAC12B10.16c	90.2428672736631	45.9626941135054	69.18076214383	936.69965075575	475.257890480606	454.153113085096	75.3863202227171	25.3350946483887	33.2525244850973	10.3860722769373	155.497784001816	414.182473288797	53.652332466335	105.013184135231
