,prot,prot,prot,prot,prot,prot
,h0,h1,h3,h5,h7,h10
SPAC12G12.04,-0.9990860774093537,0.2442596242411853,0.19520956810454693,-0.9841058998617147,-0.16196220702529981,1.705684991950636
SPAC12G12.05c,-0.11372558644652354,-0.3800041100775555,0.14990921334324123,1.5431316969702866,0.32764193626804455,-1.526953150057493
SPAC12G12.06c,0.9819075184155234,0.3553429864286601,-1.093937655746171,-1.3112206318618638,0.07385806932331743,0.9940497134405338
SPAC12G12.07c,-1.2162215079054453,-1.1148872358726274,-0.22303373988021616,0.6672049257005749,0.9070094922557108,0.9799280657020035
SPAC12G12.08,1.2761461587997265,0.9379350728900994,-0.20195874889019186,-0.9350394254269215,-1.2444412244036989,0.16735816703098622
SPAC12G12.09,0.30562025773427026,-0.7795041509616683,-1.468737640576152,0.1160947228389181,0.4335753820788719,1.3929514288857598
SPAC12G12.11c,-0.9365842257694046,-1.2880857434906765,-0.28501004047284384,0.8768999507453596,1.190873338971476,0.4419067200160889
SPAC12G12.12,-1.2819389452971173,-1.051723395374369,0.4008006151041283,0.3153702046695887,0.22467747205982644,1.3928140488379426
SPAC12G12.13c,1.212522086939,0.987892916467171,0.2970339013320148,-0.37008856505159515,-1.2451079548169468,-0.8822523848696432
SPAC12G12.14c,-0.17451875937962574,0.01194400072105811,1.286400234600501,0.9087246536291753,-1.4762557541453993,-0.5562943754257095
SPAC12G12.15,-0.4893198938011971,-1.1731481099646635,-0.3746471401456707,-0.013160599920739148,1.7807636257564985,0.26951211807577186
SPAC1327.01c,1.160373190255092,0.7920463376758502,0.5871514420049005,-0.5329984067974818,-1.441576034611947,-0.5649965285264141
SPAC139.01c,-1.0982177396729342,-1.0250432870729655,-0.5387158681997122,0.6543231506955558,0.9348569319069964,1.0727968123430598
SPAC139.02c,1.2530839853859608,1.1671732975141187,-0.027953807236429845,-0.9801166660015163,-0.9394827063579992,-0.47270410330413476
SPAC139.04c,1.2511633416025536,0.6484832569125059,0.4836434092636482,-0.2563924767222374,-0.5877570823535672,-1.5391404487029032
SPAC139.05,-0.7029602606711993,-0.7308791789219988,-0.15792239782330836,-0.3502297218403738,1.9554744609182513,-0.013482901661370676
SPAC139.06,-0.22364906026977985,0.6081405075757045,1.0392373631902099,-0.5760702882997943,-1.6089479179523305,0.7612893957559901
SPAC1399.04c,1.3962128578552824,0.9522652967455872,0.13654794851160518,-0.6360507870649789,-0.8495888778986809,-0.9993864381488157
SPAC13A11.01c,0.7158136298522302,0.712701948683827,1.0135233972718047,-0.19429982554721265,-0.6831207595744805,-1.5646183906861688
SPAC13A11.02c,1.3914300874045291,0.9138391403563971,-0.04474963125760578,-0.48409075948025587,-0.4328990124452082,-1.3435298245778566
SPAC13A11.05,-0.8659318119225058,-0.8058784220204708,-0.9091029689894778,0.2740981013515877,1.0147963459915463,1.2920187555893214
SPAC13A11.06,-0.3385847000789606,-0.4556292402863795,-0.5790686650230059,-0.7368186686723036,0.16812436231614142,1.9419769117445078
SPAC13C5.01c,-1.0796943952556635,-1.3731220437044955,0.036501534948455594,0.7859698952371483,0.7964321221132115,0.833912886661344
SPAC13C5.04,-0.4435628300540463,-0.7477384441729898,-1.0274229627836517,0.02073677643492546,0.47748876726505646,1.7204986933107065
SPAC13C5.05c,-1.0682225112643198,-1.1505802093407265,-0.4319234152714775,0.8341321996982214,0.9452071332780255,0.8713868029002768
SPAC13C5.07,-1.813698796342669,-0.4265194067587266,0.8102402070430286,0.8277545751956549,0.3539062064469269,0.2483172144157845
SPAC13D6.02c,1.080000726892867,1.2325563266315562,0.05045218855511237,-0.31169593084287744,-0.7903266697165738,-1.2609866415200852
SPAC13D6.03c,0.46671358856774275,1.3480601632170726,0.7665159227619975,-0.5571701314349723,-1.1079686996564766,-0.9161508434553639
SPAC13D6.04c,1.3403641295984388,0.7623286492006238,0.2196305069958429,-0.10644971622082049,-1.3399519683834287,-0.8759216011906563
SPAC13D6.05,-0.8689600476270334,-0.9880435794289687,0.04863305193006166,1.3280976706711054,1.0729445612232493,-0.5926716567684143
SPAC13F5.01c,-1.6241079192659342,-0.7931517396758025,0.5876344088824038,1.034850717660216,0.37371978421085283,0.42105474818826455
SPAC13F5.02c,-0.4934539622835552,0.7745162483621352,1.380119641074942,0.35833656637543887,-0.8044972473656665,-1.215021246163294
SPAC13F5.03c,-0.6134540840965798,-0.7019967365397883,-0.9891727173388274,-0.18873043214262641,1.1819243106070452,1.3114296595107768
SPAC13F5.04c,-1.0590389432441905,-0.9485560453834194,-0.6505495044249215,0.5440418891794558,1.1683320296432587,0.945770574229817
SPAC13F5.05,-1.4185510206039176,-1.0910581024648793,0.2659290437436091,0.8002336332604224,0.870794134938852,0.5726523111259132
SPAC13F5.06c,-1.2591283708196217,-1.009700931086983,1.3844183781094401,0.4982802600397767,0.47204012251385497,-0.0859094587564677
SPAC13G6.02c,-0.645467745339934,0.20074730093741516,1.874187334564181,-0.03944159821451672,-0.5177375066346817,-0.8722877853124639
SPAC13G6.03,0.21627599909422787,-1.3503427068844736,-1.0998095051127514,0.792703633246064,1.076500651932844,0.3646719277240896
SPAC13G6.04,-1.1281987607220876,-1.1650383303940008,-0.27186537032414043,0.7376047452526017,1.1162429986038207,0.7112547175838053
SPAC13G6.05c,-0.43278722407127174,-1.1051329393198386,-0.6190852836879177,-0.2791513471864518,0.9328115230717242,1.5033452711937556
SPAC13G6.06c,1.840805012371943,0.023314192242181155,-0.7081019733622673,-0.7456707928700835,-0.6895635159047478,0.2792170775229746
SPAC13G6.07c,0.3363262954814494,1.1167831750671278,0.919240631274197,-0.1390746285503924,-0.7414209975353714,-1.4918544757370105
SPAC13G6.09,-1.6465021059007263,-0.7519346653853161,0.14902903054547165,0.8129927352924455,0.7845934979883563,0.6518215074597689
SPAC13G6.10c,-1.120335104725847,-0.76819423484966,1.6828448613550249,-0.35302286206429534,0.42436738688936687,0.13433995339541135
SPAC13G6.11c,0.945366001253572,0.48598446863506267,0.6666346923450732,0.22457195133535374,-0.5789847852827116,-1.7435723282863493
SPAC13G6.14,0.7325911296713495,0.6109717900374874,0.9902327470755663,-0.09273983958379839,-0.5775285917943266,-1.6635272354062782
SPAC13G7.01c,1.4377328642373974,1.0513213357202376,-0.17828625496008696,-0.7950949095294084,-0.6710800163601958,-0.8445930191079448
SPAC13G7.02c,-1.3726252929969014,-1.0578185525925206,-0.016507993175499853,0.7938994901265704,0.8202108404031596,0.8328415082351913
SPAC13G7.03,-1.3587461893075325,-0.985224661077829,1.1673020152792148,0.8582427255733038,0.2881878502805371,0.03023825925230543
SPAC13G7.04c,1.175803532826441,0.9297638320534298,0.5646248911330443,-0.8702849807712468,-1.0687655945747583,-0.7311416806669101
SPAC13G7.05,-0.5856300120915187,-0.925218440939748,-1.1519950545964492,0.664271270935274,1.1325413352031106,0.8660309014893314
SPAC13G7.06,1.2997057764707094,1.0333491466772493,-0.48631103623973193,-1.3289235346309123,-0.48950645992190767,-0.0283138923554068
SPAC13G7.08c,0.32191365353137197,1.8156296968794738,-0.00223334917487703,-0.5573675696171699,-0.9377086509399367,-0.640233780678862
SPAC13G7.11,1.6430615234401142,0.7128076577391048,-0.3751688235766019,-1.072052103863247,-0.24291706789828652,-0.6657311858410837
SPAC13G7.12c,-1.0081735802207497,-1.0478109534381193,-0.6134285816351416,0.5971545090636806,0.9829210331275336,1.0893375731027959
SPAC13G7.13c,1.0681408188800263,1.0503834473191325,0.5712899763109854,-0.8095784661563308,-0.883828513502711,-0.9964072628511028
SPAC140.01,-0.33020970790398185,-1.173415175078491,-0.6951415270240151,-0.1086599343329508,0.73126703092617,1.576159313413268
SPAC140.02,1.3557507481390114,1.0451644299528262,-0.10121088131857338,-0.6056674745533731,-1.205915411330286,-0.4881214108896055
SPAC1420.02c,-1.2973872883236515,-1.237811062402604,0.98708623193781,0.4439591589161991,0.5096845324351238,0.5944684274371225
